Uniformization
Time	2ServersUp	1ServerUp	BothDown	Up	Down	
35.4	0.89842645	0.09885431	0.00271925	0.90114569	0.00271925	
35.5	0.89815465	0.09911113	0.00273422	0.90088887	0.00273422	
35.6	0.89788293	0.09936783	0.00274924	0.90063217	0.00274924	
35.7	0.8976113	0.09962441	0.00276429	0.90037559	0.00276429	
35.8	0.89733975	0.09988087	0.00277938	0.90011913	0.00277938	
35.9	0.89706828	0.10013721	0.00279451	0.89986279	0.00279451	
36	0.8967969	0.10039343	0.00280968	0.89960657	0.00280968	
36.1	0.89652559	0.10064952	0.00282488	0.89935048	0.00282488	
36.2	0.89625437	0.1009055	0.00284013	0.8990945	0.00284013	
36.3	0.89598323	0.10116136	0.00285542	0.89883864	0.00285542	
36.4	0.89571217	0.10141709	0.00287074	0.89858291	0.00287074	
36.5	0.89544119	0.1016727	0.0028861	0.8983273	0.0028861	
36.6	0.8951703	0.1019282	0.0029015	0.8980718	0.0029015	
36.7	0.89489949	0.10218357	0.00291694	0.89781643	0.00291694	
36.8	0.89462876	0.10243882	0.00293242	0.89756118	0.00293242	
36.9	0.89435811	0.10269395	0.00294794	0.89730605	0.00294794	
37	0.89408754	0.10294897	0.00296349	0.89705103	0.00296349	
37.1	0.89381706	0.10320386	0.00297909	0.89679614	0.00297909	
37.2	0.89354665	0.10345863	0.00299472	0.89654137	0.00299472	
37.3	0.89327633	0.10371328	0.00301039	0.89628672	0.00301039	
37.4	0.89300609	0.10396781	0.0030261	0.89603219	0.0030261	
37.5	0.89273593	0.10422222	0.00304185	0.89577778	0.00304185	
37.6	0.89246586	0.10447651	0.00305764	0.89552349	0.00305764	
37.7	0.89219586	0.10473068	0.00307346	0.89526932	0.00307346	
37.8	0.89192595	0.10498472	0.00308932	0.89501528	0.00308932	
37.9	0.89165612	0.10523865	0.00310523	0.89476135	0.00310523	
38	0.89138637	0.10549246	0.00312117	0.89450754	0.00312117	
38.1	0.8911167	0.10574615	0.00313714	0.89425385	0.00313714	
38.2	0.89084712	0.10599972	0.00315316	0.89400028	0.00315316	
38.3	0.89057761	0.10625317	0.00316922	0.89374683	0.00316922	
38.4	0.89030819	0.1065065	0.00318531	0.8934935	0.00318531	
38.5	0.89003885	0.10675971	0.00320144	0.89324029	0.00320144	
38.6	0.88976959	0.1070128	0.00321761	0.8929872	0.00321761	
38.7	0.88950041	0.10726577	0.00323382	0.89273423	0.00323382	
38.8	0.88923131	0.10751862	0.00325007	0.89248138	0.00325007	
38.9	0.8889623	0.10777135	0.00326635	0.89222865	0.00326635	
